919750	2056
917750	364
912250	3476
915250	848
916750	576
910250	3856
906250	2548
918250	264
904250	2908
924750	3124
907750	2276
926750	2744
904750	780
923250	3400
923750	3308
924250	3208
918750	188
916250	680
917250	476
927250	2648
905750	604
921250	3800
903250	3100
909750	3936
911750	1524
919750	0
925250	3028
908750	40
915250	852
916750	564
910250	1800
906250	2556
918250	292
904250	2916
924750	3132
907750	216
926750	2756
904750	2824
923250	3416
923750	3336
924250	3224
918750	176
916250	664
917250	476
927250	2660
905750	600
921250	3788
903250	3100
922250	3600
914250	3102
922750	3512
912750	3376
908250	132
903750	3024
925750	920
917750	388
912250	3466
905250	2728
906750	2476
914750	940
920750	3892
913250	1240
926250	798
907250	328
921750	3704
911250	3668
909250	4052
923250	3416
920250	3988
913750	1140
902750	3208
919250	88
917250	504
927250	624
905750	604
921250	3796
903250	3108
909750	3944
911750	1528
919750	4080
925250	3048
908750	56
915250	852
916750	584
910250	3852
906250	524
918250	276
904250	2928
924750	3140
920750	3892
926750	708
926250	2864
907250	312
921750	3700
911250	1616
918750	188
916250	672
917250	484
927250	2652
902750	3204
919250	2156
915750	776
922250	3612
914250	1044
922750	3512
912750	3400
908250	164
903750	976
925750	2952
917750	388
912250	1440
905250	2740
906750	432
914750	960
907750	240
926750	2748
904750	2852
923250	3428
923750	3350
911250	3664
909250	4048
916250	676
920250	3988
913750	1140
902750	3204
919250	114
915750	760
922250	3612
914250	1052
922750	3504
912750	1328
908250	2184
903750	3012
925750	2956
917750	392
912250	1436
905250	696
906750	2464
914750	960
920750	3884
913250	1244
926250	2860
907250	2372
921750	3708
911250	3676
909250	4028
910750	3768
920250	4008
913750	1156
902750	3216
919250	96
915750	776
922250	3612
914250	3116
922750	3520
912750	1344
908250	148
903750	3032
925750	2948
917750	404
912250	1436
905250	2740
906750	2456
914750	956
920750	3892
913250	3302
926250	2848
907250	328
921750	3708
911250	3674
909250	4032
923250	3424
923750	3320
924250	3236
918750	184
916250	672
917250	2560
927250	2656
905750	2644
921250	3804
903250	3120
909750	3964
911750	1528
919750	4
925250	3060
908750	44
915250	864
916750	584
910250	1804
906250	512
918250	288
904250	2924
924750	1100
907750	232
926750	2756
904750	2844
923250	3420
923750	3308
924250	3232
909250	4072
910750	3768
920250	3984
913750	1156
902750	3212
921250	3796
903250	3124
922250	3632
914250	1064
922750	3516
912750	1332
908250	136
903750	3028
925750	2948
917750	392
912250	3474
905250	2732
906750	2464
914750	3008
920750	3896
913250	1244
926250	830
907250	328
921750	3704
911250	1612
909250	4044
910750	3760
920250	3992
913750	1144
902750	3192
919250	96
917250	484
927250	2672
905750	604
921250	3796
903250	1064
909750	1896
911750	1524
919750	4080
925250	3052
908750	52
915250	868
916750	580
910250	3872
906250	2560
918250	296
904250	2928
924750	3132
907750	240
926750	2760
904750	2844
923250	3428
923750	3348
924250	3232
918750	192
916250	672
917250	2556
927250	2672
905750	612
921250	3820
903250	3108
909750	3956
911750	3572
919750	12
925250	3068
908750	2104
915250	872
916750	604
910250	3872
906250	2576
918250	304
904250	2932
924750	1132
907750	248
926750	2772
904750	2840
907250	344
923750	3344
924250	3248
909250	4044
910750	3760
920250	4000
913750	1168
902750	1164
919250	104
915750	776
922250	3620
914250	1060
922750	3520
912750	1356
908250	156
903750	3024
925750	2948
917750	2476
908750	68
915250	868
916750	580
910250	1812
906250	532
918250	292
904250	2928
924750	3140
907750	240
911250	1612
909250	4048
910750	3756
920250	4008
913750	1144
918750	188
916250	684
917250	488
927250	2680
905750	2648
921250	3804
903250	3116
909750	3952
911750	1528
919750	4092
925250	3044
908750	48
915250	872
916750	604
910250	3864
906250	2572
918250	298
904250	2940
924750	3156
907750	244
926750	2760
904750	2840
923250	3428
923750	3324
924250	3232
918750	172
916250	684
917250	500
927250	2664
905750	2676
921250	3820
903250	1084
922250	3608
914250	1068
922750	3520
912750	1340
908250	152
903750	3028
925750	2956
917750	384
912250	1436
905250	2756
906750	2476
914750	960
920750	1864
913250	1248
926250	2868
907250	2380
921750	3708
911250	1624
909250	4040
910750	3778
920250	3996
913750	1148
902750	3212
919250	96
915750	768
922250	3616
914250	1048
922750	3540
912750	1340
908250	2192
903750	3028
925750	922
917750	392
912250	1432
905250	2744
906750	2484
910250	3864
906250	514
918250	292
904250	2936
924750	3148
907750	2304
